rang,requete,groupe,score,demande_30j,nb_outils,nb_actifs,part_leader,part_payante,faiblesse_leader,croissance,leader,leader_url,raisons
1,doctolib,France,16.89,72,39,1,0.167,0.972,0.3,,Redfin Scraper,https://apify.com/rigelbytes/redfin-scraper,72% d'exécutions réussies
2,gdpr,Europe,16.7,786,32,2,0.922,0.997,0.0,,Bulk Email Verifier & Validator — BounceVerify $0.89/1k,https://apify.com/bounceverify/bounceverify-email-verifier,
3,insee,France,16.46,10738,24,5,0.506,1.0,0.0,,Facebook Groups Scraper,https://apify.com/apify/facebook-groups-scraper,
4,public tender,Europe,15.7,50,28,1,0.28,1.0,0.3,,EU TED Tenders — Public Procurement Notice Scraper,https://apify.com/foxlabs/ted-tenders,85% d'exécutions réussies
5,boamp,France,15.6,309,32,4,0.472,1.0,0.4,,Linkedin Sales Navigator Scraper,https://apify.com/bestscrapers/linkedin-sales-navigator-scraper,note 3.4/5 (30 avis)
6,leboncoin seller,Outils pour vendeurs,15.14,261,34,4,0.295,1.0,0.4,,Leboncoin.fr Scraper | $1 / 1k | Fast & Reliable,https://apify.com/fatihtahta/leboncoin-fr-scraper,note 3.6/5 (8 avis)
7,eudr,Europe,14.75,121,34,1,0.116,1.0,0.0,,NoFluffJobs Scraper — Tech Jobs Poland & Europe,https://apify.com/blackfalcondata/nofluffjobs-scraper,
8,eu vat,Europe,14.62,28,30,0,0.036,1.0,0.0,,EU VAT Validator — Compliance Monitoring & Alerts,https://apify.com/ryanclinton/eu-vat-validator,
9,vies,Europe,14.47,27,28,0,0.037,1.0,0.0,,"Spain Tax ID Validator — NIF, CIF, NIE, IBAN & EU VAT (VIES)",https://apify.com/iberiq/spain-tax-id-validator,
10,eur-lex,Europe,14.31,26,26,0,0.154,1.0,0.0,,"eBay Business Leads Scraper — Emails, VAT & Company Numbers",https://apify.com/programmx/ebay-business-leads,
11,europe,Europe,13.98,94,38,1,0.149,1.0,0.0,,NoFluffJobs Scraper — Tech Jobs Poland & Europe,https://apify.com/blackfalcondata/nofluffjobs-scraper,
12,marches publics,France,13.3,460,31,3,0.485,0.998,0.0,,Instagram Profile Scraper · Verified Emails · No Login,https://apify.com/data-slayer/instagram-user-info-scraper-cookieless,
13,siret,France,13.06,101,37,3,0.297,1.0,0.3,,Pagesjaunes Scraper,https://apify.com/saswave/pagesjaunes-scraper,67% d'exécutions réussies
14,sirene,France,12.62,62,36,1,0.194,0.984,0.0,,Pappers / Sirene Scraper: 26M French Companies SIREN/SIRET,https://apify.com/dltik/pappers-sirene-scraper,
15,amazon kdp,Outils pour vendeurs,12.13,51,9,1,0.333,1.0,0.0,,"Fiverr Scraper — Gigs, Sellers, Prices & Market Analysis",https://apify.com/datascoutlab/fiverr-scraper,
16,lead generation,Marchés B2B,11.97,1464,29,6,0.325,1.0,0.0,,Company Detail Scraper for LinkedIn (No Cookies),https://apify.com/apimaestro/linkedin-company-detail,
17,youtube transcript,Marchés B2B,11.6,9436,32,22,0.256,1.0,0.4,,Youtube Transcript Scraper,https://apify.com/pintostudio/youtube-transcript-scraper,note 3.7/5 (49 avis)
18,leboncoin,France,11.29,365,34,9,0.211,0.989,0.4,,Leboncoin.fr Scraper | $1 / 1k | Fast & Reliable,https://apify.com/fatihtahta/leboncoin-fr-scraper,note 3.6/5 (8 avis)
19,compliance,Europe,11.2,41,32,1,0.268,0.951,0.0,,"Corporate Decision Intelligence: KYC, Compliance, Supplier Risk",https://apify.com/ryanclinton/opencorporates-search,
20,shopify seo,Outils pour vendeurs,11.14,311,32,4,0.441,0.997,0.0,,Shopify & WooCommerce Leads Database | 60M+ Websites,https://apify.com/apivault_labs/website-leads-database,
21,infogreffe,France,10.74,32,17,1,0.375,1.0,0.0,,Pappers / Sirene Scraper: 26M French Companies SIREN/SIRET,https://apify.com/dltik/pappers-sirene-scraper,
22,seloger,France,10.55,128,37,3,0.352,1.0,0.0,,SeLoger Scraper 💰 $0.9/1K France Real Estate Extractor,https://apify.com/azzouzana/seloger-mass-products-scraper-by-search-url,
23,company data,Marchés B2B,10.42,1441,38,17,0.438,1.0,0.4,,Linkedin Profile Scraper with Email & Company Data (No Cookie),https://apify.com/datadoping/linkedin-profile-scraper,note 3.4/5 (11 avis)
24,societe.com,France,10.26,170,40,7,0.106,1.0,0.3,,Spain Company Directory Scraper - Registro Mercantil,https://apify.com/regdata/spain-company-directory-scraper,40% d'exécutions réussies
